Player,Opp.,Attempts,SOA%,Goals,Actual_Conversion_Rate,Estimated_Conversion_Rate,SO_Rating
Vinnie Hinostroza,18,6,0.3333333333333333,2,0.3333333333333333,0.3229055037856727,68.36263994046462
Josh Leivo,16,6,0.375,2,0.3333333333333333,0.3229055037856727,68.36263994046462
Anthony Beauvillier,25,6,0.24,2,0.3333333333333333,0.3229055037856727,68.36263994046462
Ray Whitney,56,37,0.6607142857142857,12,0.32432432432432434,0.32290513977868374,68.36253882741214
Filip Forsberg,46,37,0.8043478260869565,12,0.32432432432432434,0.32290513977868374,68.36253882741214
Bobby Ryan,103,65,0.6310679611650486,21,0.3230769230769231,0.322743520675597,68.31764463211026
Ryan Nugent-Hopkins,63,31,0.49206349206349204,10,0.3225806451612903,0.32258262958648803,68.27295266291334
Kyle Wellwood,56,31,0.5535714285714286,10,0.3225806451612903,0.32258262958648803,68.27295266291334
Markus Naslund,48,31,0.6458333333333334,10,0.3225806451612903,0.32258262958648803,68.27295266291334
Daniel Alfredsson,69,59,0.855072463768116,19,0.3220338983050847,0.3224210104834012,68.22805846761145
Auston Matthews,24,22,0.9166666666666666,7,0.3181818181818182,0.3220988642981945,68.13857341616513
Nick Cousins,32,22,0.6875,7,0.3181818181818182,0.3220988642981945,68.13857341616513
Brock Nelson,64,19,0.296875,6,0.3157894736842105,0.3219376092020967,68.09378033391573
Cody Hodgson,54,19,0.35185185185185186,6,0.3157894736842105,0.3219376092020967,68.09378033391573
Ryan Johansen,73,47,0.6438356164383562,15,0.3191489361702128,0.32177599009900987,68.04888613861385
Steven Stamkos,90,47,0.5222222222222223,15,0.3191489361702128,0.32177599009900987,68.04888613861385
John Mitchell,59,13,0.22033898305084745,4,0.3076923076923077,0.321615099009901,68.00419416941693
Jere Lehtinen,51,13,0.2549019607843137,4,0.3076923076923077,0.321615099009901,68.00419416941693
Teuvo Teravainen,29,10,0.3448275862068966,3,0.3,0.3214538439138031,67.95940108716752
Jack Johnson,115,41,0.3565217391304348,13,0.3170731707317073,0.3214534799068142,67.95929997411505
Alex DeBrincat,15,7,0.4666666666666667,2,0.2857142857142857,0.3212925888177053,67.91460800491812
Fabian Brunnstrom,16,4,0.25,1,0.25,0.32113133372160746,67.86981492266872
Nikita Filatov,5,4,0.8,1,0.25,0.32113133372160746,67.86981492266872
Matt Frattin,20,4,0.2,1,0.25,0.32113133372160746,67.86981492266872
