Player,Tm,Opp.,Att.,Made,Miss,Pct.
Paul Ranger,N/A,43,1,0,1,0
Alex Pietrangelo,N/A,86,2,0,2,0
Matt Nieto,N/A,43,1,0,1,0
Travis Moen,N/A,87,2,0,2,0
Drew Miller,N/A,89,2,1,1,0.5
Dan Carcillo,N/A,45,1,1,0,1
Brendan Witt,N/A,45,1,0,1,0
Cody Eakin,N/A,45,1,0,1,0
Matt Martin,N/A,91,2,0,2,0
Kris Russell,N/A,94,2,0,2,0
Cody McCormick,N/A,48,1,0,1,0
Jean-Gabriel Pageau,N/A,48,1,0,1,0
Chris Kelly,N/A,97,2,0,2,0
Sami Vatanen,N/A,50,1,1,0,1
Matt Irwin,N/A,50,1,0,1,0
Chris Kreider,N/A,50,1,0,1,0
Seth Jones,N/A,50,1,0,1,0
Matt Stajan,N/A,103,2,0,2,0
Tom Gilbert,N/A,103,2,0,2,0
Cam Barker,N/A,52,1,0,1,0
Justin Faulk,N/A,53,1,0,1,0
Tom Wilson,N/A,53,1,0,1,0
Mark Pysyk,N/A,54,1,0,1,0
Scott Niedermayer,N/A,55,1,0,1,0
Steve Montador,N/A,55,1,0,1,0
Leo Komarov,N/A,55,1,0,1,0
Kris Draper,N/A,56,1,0,1,0
Cody Ceci,N/A,56,1,0,1,0
Carl Hagelin,N/A,57,1,0,1,0
Derek Dorsett,N/A,58,1,0,1,0
Hampus Lindholm,N/A,58,1,0,1,0
Mattias Ekholm,N/A,59,1,0,1,0
Jay McClement,N/A,120,2,1,1,0.5
Colin Fraser,N/A,60,1,0,1,0
Sheldon Souray,N/A,61,1,0,1,0
Rob Niedermayer,N/A,62,1,0,1,0
Brendan Smith,N/A,62,1,0,1,0
Adam Larsson,N/A,62,1,0,1,0
Adam Mair,N/A,63,1,0,1,0
Tomas Holmstrom,N/A,63,1,0,1,0
Ryan Carter,N/A,63,1,0,1,0
Zach Bogosian,N/A,64,1,1,0,1
Chris Pronger,N/A,64,1,0,1,0
Stephane Veilleux,N/A,66,1,0,1,0
Jeff Petry,N/A,68,1,0,1,0
Erik Gudbranson,N/A,71,1,0,1,0
Francis Bouillon,N/A,75,1,0,1,0
Henrik Tallinder,N/A,77,1,0,1,0
Jamie McGinn,N/A,77,1,0,1,0
Karl Alzner,N/A,77,1,0,1,0
Carl Gunnarsson,N/A,79,1,0,1,0
Andrej Meszaros,N/A,80,1,0,1,0
Michael DelZotto,N/A,80,1,0,1,0
Michael Grabner,N/A,83,1,0,1,0
Nate Thompson,N/A,83,1,0,1,0
Johnny Boychuk,N/A,84,1,0,1,0
John-Michael Liles,N/A,84,1,0,1,0
Torrey Mitchell,N/A,86,1,0,1,0
Christian Ehrhoff,N/A,88,1,0,1,0
Mark Giordano,N/A,89,1,0,1,0
Keith Yandle,N/A,90,1,0,1,0
Manny Malhotra,N/A,96,1,0,1,0
Dainius Zubrus,N/A,97,1,0,1,0
Chris Neil,N/A,97,1,0,1,0
Willie Mitchell,N/A,98,1,0,1,0
Jason Demers,N/A,104,1,0,1,0
Brad Richardson,N/A,105,1,0,1,0
Scott Hartnell,N/A,105,1,0,1,0
Francois Beauchemin,N/A,105,1,0,1,0
Niklas Hjalmarsson,N/A,107,1,0,1,0
Brooks Orpik,N/A,108,1,1,0,1
Shea Weber,N/A,108,1,0,1,0
Marc Staal,N/A,111,1,0,1,0
Marc-Edouard Vlasic,N/A,129,1,0,1,0
Jay Bouwmeester,N/A,134,1,0,1,0
Brent Seabrook,N/A,142,1,1,0,1
Brian Campbell,N/A,143,1,0,1,0
