Player,Tm,Att.,Made,Miss,Pct.
Nathan MacKinnon\mackina01,COL,4,1,3,25.0
Pontus Aberg\abergpo01,ANA,4,1,3,25.0
Mathew Barzal\barzama01,NYI,9,2,7,22.2
Brock Boeser\boesebr01,VAN,9,2,7,22.2
Zach Parise\parisza01,MIN,5,1,4,20.0
Brad Marchand\marchbr03,BOS,5,1,4,20.0
Sidney Crosby\crosbsi01,PIT,5,1,4,20.0
Kyle Turris\turriky01,NSH,5,1,4,20.0
Jake Debrusk\debruja01,BOS,5,1,4,20.0
Adrian Kempe\kempead01,LAK,5,1,4,20.0
Gustav Nyquist\nyquigu01,DET,6,1,5,16.7
Jordan Eberle\eberljo01,NYI,6,1,5,16.7
Brock Nelson\nelsobr01,NYI,6,1,5,16.7
Frans Nielsen\nielsfr01,DET,7,1,6,14.3
Brayden Point\pointbr01,TBL,6,0,6,0.0
Bo Horvat\horvabo01,VAN,6,0,6,0.0
Nikolay Goldobin\goldoni01,VAN,5,0,5,0.0
Matthew Tkachuk\tkachma01,CGY,4,0,4,0.0
Gabriel Landeskog\landega01,COL,4,0,4,0.0
Dustin Brown\browndu01,LAK,4,0,4,0.0
Kevin Fiala\fialake01,NSH,4,0,4,0.0
Clayton Keller\kellecl01,ARI,4,0,4,0.0
Vladimir Tarasenko\tarasvl01,STL,4,0,4,0.0
Thomas Vanek\vanekth01,DET,4,0,4,0.0
Nico Hischier\hischni01,NJD,3,0,3,0.0
Jonathan Marchessault\audymjo01,VEG,3,0,3,0.0
Valtteri Filppula\filppva01,NYI,3,0,3,0.0
Joe Pavelski\paveljo01,SJS,3,0,3,0.0
Alex Iafallo\iafalal01,LAK,3,0,3,0.0
Sebastian Aho\ahose01,CAR,3,0,3,0.0
Logan Couture\coutulo01,SJS,3,0,3,0.0
Jaccob Slavin\slavija01,CAR,3,0,3,0.0
Alexander Radulov\radulal01,DAL,3,0,3,0.0
Evgeni Malkin\malkiev01,PIT,3,0,3,0.0
James Neal\nealja01,CGY,3,0,3,0.0
Danton Heinen\heineda01,BOS,3,0,3,0.0
Ryan Spooner\spoonry01,NYR,3,0,3,0.0
James van Riemsdyk\vanrija01,PHI,3,0,3,0.0
David Pastrnak\pastrda01,BOS,3,0,3,0.0
Jakob Silfverberg\silfvja01,ANA,2,0,2,0.0
Miro Heiskanen\heiskmi01,DAL,2,0,2,0.0
Pavel Buchnevich\buchnpa01,NYR,2,0,2,0.0
Patrice Bergeron\bergepa01,BOS,2,0,2,0.0
Justin Williams\williju01,CAR,2,0,2,0.0
Roope Hintz\hintzro01,DAL,2,0,2,0.0
Johnny Gaudreau\gaudrjo01,CGY,2,0,2,0.0
Justin Abdelkader\abdelju01,DET,2,0,2,0.0
Jesper Bratt\brattje01,NJD,2,0,2,0.0
John Klingberg\klingjo01,DAL,2,0,2,0.0
Filip Chytil\chytifi01,NYR,2,0,2,0.0
John Tavares\tavarjo01,TOR,2,0,2,0.0
Kris Letang\letankr01,PIT,2,0,2,0.0
Tomas Hertl\hertlto01,SJS,2,0,2,0.0
Quinn Hughes\hughequ01,VAN,2,0,2,0.0
Mitch Marner\marnemi01,TOR,2,0,2,0.0
Tomas Tatar\tatarto01,MTL,2,0,2,0.0
Brandon Pirri\pirribr01,VEG,2,0,2,0.0
Travis Konecny\konectr01,PHI,1,0,1,0.0
Mathieu Perreault\perrema01,WPG,1,0,1,0.0
John Carlson\carlsjo01,WSH,1,0,1,0.0
Jason Spezza\spezzja01,DAL,1,0,1,0.0
Stefan Noesen\noesest01,NJD,1,0,1,0.0
Luke Kunin\kuninlu01,MIN,1,0,1,0.0
Anthony Duclair\duclaan01,CBJ,1,0,1,0.0
Charlie McAvoy\mcavoch01,BOS,1,0,1,0.0
Bryan Little\littlbr01,WPG,1,0,1,0.0
Max Domi\domima01,MTL,1,0,1,0.0
Bobby Ryan\ryanbo01,OTT,1,0,1,0.0
Phillip Di Giuseppe\digiuph01,CAR,1,0,1,0.0
Richard Panik\panikri01,ARI,1,0,1,0.0
Tyler Johnson\johnsty01,TBL,1,0,1,0.0
Andrew Mangiapane\mangian01,CGY,1,0,1,0.0
Michael Rasmussen\rasmumi01,DET,1,0,1,0.0
Max Pacioretty\pacioma01,VEG,1,0,1,0.0
Anthony Beauvillier\beauvan01,NYI,1,0,1,0.0
Elias Lindholm\lindhel01,CGY,1,0,1,0.0
Mike Hoffman\hoffmmi02,FLA,1,0,1,0.0
Ty Rattie\rattity01,EDM,1,0,1,0.0
Taylor Hall\hallta02,NJD,1,0,1,0.0
Mattias Janmark\janmama02,DAL,1,0,1,0.0
Mikko Koivu\koivumi01,MIN,1,0,1,0.0
David Krejci\krejcda01,BOS,1,0,1,0.0
Jack Roslovic\rosloja01,WPG,1,0,1,0.0
Alex Steen\steenal01,STL,1,0,1,0.0
Nick Bjugstad\bjugsni01,FLA,1,0,1,0.0
Brayden Schenn\schenbr01,STL,1,0,1,0.0
Travis Zajac\zajactr01,NJD,1,0,1,0.0
Vladimir Sobotka\sobotvl01,BUF,1,0,1,0.0
Alexander Edler\edleral01,VAN,1,0,1,0.0
Torey Krug\krugto01,BOS,1,0,1,0.0
Tyler Ennis\ennisty01,TOR,1,0,1,0.0
Mark Jankowski\jankoma01,CGY,1,0,1,0.0
Victor Rask\raskvi01,MIN,1,0,1,0.0
Brendan Leipsic\leipsbr01,VAN,1,0,1,0.0
Anthony Cirelli\cirelan01,TBL,1,0,1,0.0
Kasperi Kapanen\kapanka01,TOR,1,0,1,0.0
J.T. Compher\comphj.01,COL,1,0,1,0.0
John Quenneville\quennjo02,NJD,1,0,1,0.0
Sven Andrighetto\andrisv01,COL,1,0,1,0.0
Jujhar Khaira\khairju01,EDM,1,0,1,0.0
Ondrej Kase\kaseon01,ANA,1,0,1,0.0
Kyle Okposo\okposky01,BUF,1,0,1,0.0
Robert Thomas\thomaro01,STL,1,0,1,0.0
Craig Smith\smithcr01,NSH,1,0,1,0.0
Oliver Bjorkstrand\bjorkol01,CBJ,1,0,1,0.0
Kenny Agostino\agostke01,NJD,1,0,1,0.0
Joonas Donskoi\donskjo01,SJS,1,0,1,0.0
Calle Jarnkrok\jarnkca01,NSH,1,0,1,0.0
William Nylander\nylanwi01,TOR,1,0,1,0.0
Jesperi Kotkaniemi\kotkaje01,MTL,1,0,1,0.0
Peter Cehlarik\cehlape01,BOS,1,0,1,0.0
Sam Steel\steelsa01,ANA,1,0,1,0.0
Blake Wheeler\wheelbl01,WPG,1,0,1,0.0
Oscar Lindberg\lindbos02,VEG,1,0,1,0.0
Tyler Bertuzzi\bertuty01,DET,1,0,1,0.0
Lars Eller\ellerla01,WSH,1,0,1,0.0
Thomas Chabot\chaboth01,OTT,1,0,1,0.0
Janne Kuokkanen\kuokkja01,CAR,1,0,1,0.0
Noah Hanifin\hanifno01,CGY,1,0,1,0.0
Jeff Skinner\skinnje01,BUF,1,0,1,0.0
Derick Brassard\brassde01,COL,1,0,1,0.0
Leo Komarov\komarle01,NYI,1,0,1,0.0
Frank Vatrano\vatrafr01,FLA,1,0,1,0.0
Antoine Roussel\roussan01,VAN,1,0,1,0.0
Brayden Schenn\schenbr01,STL,3,3,0,100.0
Adrian Kempe\kempead01,LAK,2,2,0,100.0
Patrick Sharp\sharppa01,CHI,1,1,0,100.0
Alex Goligoski\goligal01,ARI,1,1,0,100.0
Rick Nash\nashri01,NYR,1,1,0,100.0
Alex Steen\steenal01,STL,1,1,0,100.0
Ryan Donato\donatry01,BOS,1,1,0,100.0
Justin Abdelkader\abdelju01,DET,1,1,0,100.0
Gabriel Landeskog\landega01,COL,1,1,0,100.0
Phillip Di Giuseppe\digiuph01,CAR,1,1,0,100.0
Brock Nelson\nelsobr01,NYI,1,1,0,100.0
Josh Anderson\anderjo05,CBJ,1,1,0,100.0
Sven Baertschi\baertsv01,VAN,1,1,0,100.0
Mike Matheson\mathemi01,FLA,1,1,0,100.0
Shea Theodore\theodsh01,VEG,1,1,0,100.0
Tyler Bozak\bozakty01,TOR,6,5,1,83.3
Matthew Tkachuk\tkachma01,CGY,5,4,1,80.0
Mike Cammalleri\cammami01,LAK,5,4,1,80.0
Mark Scheifele\scheima01,WPG,4,3,1,75.0
Chris Stewart\stewach02,MIN,4,3,1,75.0
Connor McDavid\mcdavco01,EDM,6,4,2,66.7
Aleksander Barkov\barkoal01,FLA,6,4,2,66.7
Frans Nielsen\nielsfr01,DET,6,4,2,66.7
Vladimir Tarasenko\tarasvl01,STL,3,2,1,66.7
Jacob Josefson\josefja01,BUF,3,2,1,66.7
Zach Parise\parisza01,MIN,3,2,1,66.7
Nick Cousins\cousini01,ARI,3,2,1,66.7
Charlie McAvoy\mcavoch01,BOS,3,2,1,66.7
Alex Ovechkin\ovechal01,WSH,3,2,1,66.7
