Player,Attempts,Saves,Actual_Save_Rate,Estimated_Save_Rate,SO_Rating
Nathan Lieuwen\lieuwna01,9,7,0.7777777777777778,0.591765,56.62268711095242
Adin Hill\hillad01,8,6,0.75,0.58968,55.997452670095015
Pavel Francouz\francpa01,3,3,1.0,0.589255,55.87000680085549
Wade Dubielewicz\dubiewa01,2,2,1.0,0.58717,55.24477235999809
Calvin Petersen\peterca01,2,2,1.0,0.58717,55.24477235999809
Rob Zepp\zeppro01,2,2,1.0,0.58717,55.24477235999809
Martin Gerber\gerbema01,4,3,0.75,0.58634,54.99587807418914
Kevin Weekes\weekeke01,6,4,0.6666666666666666,0.58551,54.7469837883802
Richard Bachman\bachmri01,8,5,0.625,0.58468,54.49808950257126
Eddie Pasquale\pasqued01,3,2,0.6666666666666666,0.584255,54.37064363333174
Jared Coreau\coreaja01,3,2,0.6666666666666666,0.584255,54.37064363333174
Jean-Francois Berube\berubje02,3,2,0.6666666666666666,0.584255,54.37064363333174
Maxime Lagace\lagacma01,3,2,0.6666666666666666,0.584255,54.37064363333174
Matt Hackett\hackema01,5,3,0.6,0.583425,54.121749347522794
Casey DeSmith\desmica01,7,4,0.5714285714285714,0.582595,53.87285506171385
Jonas Johansson\johanjo03,2,1,0.5,0.58217,53.745409192474334
Cal Heeter\heeteca01,2,1,0.5,0.58217,53.745409192474334
Fredrik Norrena\norrefr01,2,1,0.5,0.58217,53.745409192474334
Connor Knapp\knappco01,2,1,0.5,0.58217,53.745409192474334
Jeremy Smith\smithje02,2,1,0.5,0.58217,53.745409192474334
Manny Fernandez\fernama01,9,5,0.5555555555555556,0.581765,53.62396077590491
Ilya Samsonov\samsoil01,5,2,0.4,0.578425,52.62238617999904
Joni Ortio\ortiojo01,5,2,0.4,0.578425,52.62238617999904
Justin Pogge\poggeju01,2,0,0.0,0.57717,52.24604602495058
Kaapo Kahkonen\kahkoka01,2,0,0.0,0.57717,52.24604602495058
Matt Climie\climima01,2,0,0.0,0.57717,52.24604602495058
Jack Campbell\campbja01,9,4,0.4444444444444444,0.576765,52.12459760838116
Anthony Stolarz\stolaan01,9,4,0.4444444444444444,0.576765,52.12459760838116
Jeff Zatkoff\zatkoje01,6,2,0.3333333333333333,0.57551,51.7482574533327
Leland Irving\irvinle01,6,2,0.3333333333333333,0.57551,51.7482574533327
Nathan Lawson\lawsona01,6,2,0.3333333333333333,0.57551,51.7482574533327
Yann Danis\danisya01,8,2,0.25,0.56968,50.0
